source_id,title,youtube_id,transcript_rel,subtitle_rel,chapter_rel,video_rel,video_exists,transcript_words,transcript_sha256,last_timestamp,analysis_exists,narrative_map_exists,visual_notes_exists,figure_notes_exists,memory_fragment_exists,existing_book_mentions
1,Asking Billionaires If They Pay Taxes!,4uFVDpGTHPQ,markdown/lazyearn/school-of-hard-knocks/hard-knocks-interviews/001 - Asking Billionaires If They Pay Taxes! [4uFVDpGTHPQ].md,subtitles/lazyearn/school-of-hard-knocks/hard-knocks-interviews/001 - Asking Billionaires If They Pay Taxes! [4uFVDpGTHPQ].srt,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/chapters/lecture_01,lazyearn/school-of-hard-knocks/hard-knocks-interviews/001 - Asking Billionaires If They Pay Taxes! [4uFVDpGTHPQ].webm,yes,4884,a0f53b5d36c804cfeb678a5c7255d60c5f965ca6ebb4208da3b53292846bd221,"00:20:28,538",yes,yes,yes,yes,no,0
2,Asking London Billionaires How They Got Rich!,mRJN1l_w-Co,markdown/lazyearn/school-of-hard-knocks/hard-knocks-interviews/002 - Asking London Billionaires How They Got Rich! [mRJN1l_w-Co].md,subtitles/lazyearn/school-of-hard-knocks/hard-knocks-interviews/002 - Asking London Billionaires How They Got Rich! [mRJN1l_w-Co].srt,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/chapters/lecture_02,lazyearn/school-of-hard-knocks/hard-knocks-interviews/002 - Asking London Billionaires How They Got Rich! [mRJN1l_w-Co].webm,yes,5114,87a2fbc185e947033a4c13f1751e7b999736666b56b72907a2c4b9d1a9e5298c,"00:19:04,512",yes,yes,yes,yes,no,0
3,Asking Billionaires If They Believe In God!,npnyOvchXZs,markdown/lazyearn/school-of-hard-knocks/hard-knocks-interviews/003 - Asking Billionaires If They Believe In God! [npnyOvchXZs].md,subtitles/lazyearn/school-of-hard-knocks/hard-knocks-interviews/003 - Asking Billionaires If They Believe In God! [npnyOvchXZs].srt,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/chapters/lecture_03,lazyearn/school-of-hard-knocks/hard-knocks-interviews/003 - Asking Billionaires If They Believe In God! [npnyOvchXZs].webm,yes,5529,c84826091d7d3b390bdd31701657969096ba4db489b74c613b6b138ee3a0d913,"00:21:36,420",yes,yes,yes,yes,no,0
4,Asking Billionaires If Getting Rich Was Worth It,dK5bG5ZE3yI,markdown/lazyearn/school-of-hard-knocks/hard-knocks-interviews/004 - Asking Billionaires If Getting Rich Was Worth It [dK5bG5ZE3yI].md,subtitles/lazyearn/school-of-hard-knocks/hard-knocks-interviews/004 - Asking Billionaires If Getting Rich Was Worth It [dK5bG5ZE3yI].srt,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/chapters/lecture_04,lazyearn/school-of-hard-knocks/hard-knocks-interviews/004 - Asking Billionaires If Getting Rich Was Worth It [dK5bG5ZE3yI].webm,yes,6549,94e5e4eac3b41aa28ce5cbc4502b35c4edbe57e834dea2013336b2b3d65a14a3,"00:24:51,000",yes,yes,yes,yes,no,1
5,Asking Dallas Billionaires How They Got Rich!,rrDdi0vZn00,markdown/lazyearn/school-of-hard-knocks/hard-knocks-interviews/005 - Asking Dallas Billionaires How They Got Rich! [rrDdi0vZn00].md,subtitles/lazyearn/school-of-hard-knocks/hard-knocks-interviews/005 - Asking Dallas Billionaires How They Got Rich! [rrDdi0vZn00].srt,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/chapters/lecture_05,lazyearn/school-of-hard-knocks/hard-knocks-interviews/005 - Asking Dallas Billionaires How They Got Rich! [rrDdi0vZn00].webm,yes,6703,8322e1f6dfa824e4282a46ac8bd39940afcbcd972fd45a77abc659023e1d00f4,"00:25:54,300",yes,yes,yes,yes,no,0
6,Asking Miami Billionaires How They Got Rich!,lU-bh2xPl4Y,markdown/lazyearn/school-of-hard-knocks/hard-knocks-interviews/006 - Asking Miami Billionaires How They Got Rich! [lU-bh2xPl4Y].md,subtitles/lazyearn/school-of-hard-knocks/hard-knocks-interviews/006 - Asking Miami Billionaires How They Got Rich! [lU-bh2xPl4Y].srt,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/chapters/lecture_06,lazyearn/school-of-hard-knocks/hard-knocks-interviews/006 - Asking Miami Billionaires How They Got Rich! [lU-bh2xPl4Y].webm,yes,5443,038f109ba3ed72645ae4b9d517a62e73f10cc94d52843fbb7235279dd897dd20,"00:21:20,280",yes,yes,yes,yes,no,0
7,Asking Beverly Hill Billionaires How They Got Rich!,uwh4gWNgb1w,markdown/lazyearn/school-of-hard-knocks/hard-knocks-interviews/007 - Asking Beverly Hill Billionaires How They Got Rich! [uwh4gWNgb1w].md,subtitles/lazyearn/school-of-hard-knocks/hard-knocks-interviews/007 - Asking Beverly Hill Billionaires How They Got Rich! [uwh4gWNgb1w].srt,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/chapters/lecture_07,lazyearn/school-of-hard-knocks/hard-knocks-interviews/007 - Asking Beverly Hill Billionaires How They Got Rich! [uwh4gWNgb1w].webm,yes,4508,39c38658ce2f53e6a04bda4cf42f66b6eeee39b34f007416fb2fde5525427f8a,"00:17:39,159",yes,yes,yes,yes,no,0
8,Asking Wealthy Americans How They Got Rich! (Palm Beach),AUaEd3_JbP8,markdown/lazyearn/school-of-hard-knocks/hard-knocks-interviews/008 - Asking Wealthy Americans How They Got Rich! (Palm Beach) [AUaEd3_JbP8].md,subtitles/lazyearn/school-of-hard-knocks/hard-knocks-interviews/008 - Asking Wealthy Americans How They Got Rich! (Palm Beach) [AUaEd3_JbP8].srt,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/chapters/lecture_08,lazyearn/school-of-hard-knocks/hard-knocks-interviews/008 - Asking Wealthy Americans How They Got Rich! (Palm Beach) [AUaEd3_JbP8].webm,yes,6979,fbc53d719cae5077c260f6e64188a7b1e7f5a8ea89747cfac0a76e83e2d126b8,"00:26:46,250",yes,yes,yes,yes,no,0
9,Asking NY Billionaires How They Got Rich!,DmDeNuTUetE,markdown/lazyearn/school-of-hard-knocks/hard-knocks-interviews/009 - Asking NY Billionaires How They Got Rich! [DmDeNuTUetE].md,subtitles/lazyearn/school-of-hard-knocks/hard-knocks-interviews/009 - Asking NY Billionaires How They Got Rich! [DmDeNuTUetE].srt,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/chapters/lecture_09,lazyearn/school-of-hard-knocks/hard-knocks-interviews/009 - Asking NY Billionaires How They Got Rich! [DmDeNuTUetE].webm,yes,5890,9cafb2a7bcc439e81908fb7b05ca8417363bac059770288fe9ba325d597da859,"00:22:04,738",yes,yes,yes,yes,no,0
10,Asking Mega Mansion Owners How They Got Rich!,E_9nX5ReMcY,markdown/lazyearn/school-of-hard-knocks/hard-knocks-interviews/010 - Asking Mega Mansion Owners How They Got Rich! [E_9nX5ReMcY].md,subtitles/lazyearn/school-of-hard-knocks/hard-knocks-interviews/010 - Asking Mega Mansion Owners How They Got Rich! [E_9nX5ReMcY].srt,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/chapters/lecture_10,lazyearn/school-of-hard-knocks/hard-knocks-interviews/010 - Asking Mega Mansion Owners How They Got Rich! [E_9nX5ReMcY].webm,yes,6869,f086f17532ee1d7b3c0d320095d02ebf89d290e015ed59f6142dd2104bc65501,"00:26:56,469",yes,yes,yes,yes,no,3
