youtube_id,family_size,record_ids,series,titles
0I0EPRu3DJ0,3,school-of-hard-knocks/10-questions-with-a-millionaire/005-0I0EPRu3DJ0;school-of-hard-knocks/entrepreneurship/056-0I0EPRu3DJ0;school-of-hard-knocks/hard-knocks-interviews/057-0I0EPRu3DJ0,school-of-hard-knocks/10-questions-with-a-millionaire;school-of-hard-knocks/entrepreneurship;school-of-hard-knocks/hard-knocks-interviews,Young Entrepreneur Interviews SHAQ;Young Entrepreneur Interviews SHAQ;Young Entrepreneur Interviews SHAQ
1m7ERHu13sc,2,school-of-hard-knocks/entrepreneurship/146-1m7ERHu13sc;school-of-hard-knocks/hard-knocks-interviews/113-1m7ERHu13sc,school-of-hard-knocks/entrepreneurship;school-of-hard-knocks/hard-knocks-interviews,"Asking Strangers How Much MONEY They Make (Austin, Texas);Asking Strangers How Much MONEY They Make (Austin, Texas)"
22CjsRG0sTc,3,school-of-hard-knocks/10-questions-with-a-millionaire/004-22CjsRG0sTc;school-of-hard-knocks/entrepreneurship/055-22CjsRG0sTc;school-of-hard-knocks/hard-knocks-interviews/056-22CjsRG0sTc,school-of-hard-knocks/10-questions-with-a-millionaire;school-of-hard-knocks/entrepreneurship;school-of-hard-knocks/hard-knocks-interviews,He Made $7M∕Year And Paid Zero Taxes!;He Made $7M∕Year And Paid Zero Taxes!;He Made $7M⧸Year And Paid Zero Taxes!
2Q2JgVDvHV0,2,school-of-hard-knocks/entrepreneurship/021-2Q2JgVDvHV0;school-of-hard-knocks/hard-knocks-interviews/022-2Q2JgVDvHV0,school-of-hard-knocks/entrepreneurship;school-of-hard-knocks/hard-knocks-interviews,Asking Billionaire Women How They Got RICH!;Asking Billionaire Women How They Got RICH!
2tRPK9s4p5k,2,school-of-hard-knocks/entrepreneurship/078-2tRPK9s4p5k;school-of-hard-knocks/hard-knocks-interviews/079-2tRPK9s4p5k,school-of-hard-knocks/entrepreneurship;school-of-hard-knocks/hard-knocks-interviews,Asking Atlanta Millionaires How They Got RICH!;Asking Atlanta Millionaires How They Got RICH!
3G79t-mcgJ8,2,school-of-hard-knocks/entrepreneurship/147-3G79t-mcgJ8;school-of-hard-knocks/hard-knocks-interviews/114-3G79t-mcgJ8,school-of-hard-knocks/entrepreneurship;school-of-hard-knocks/hard-knocks-interviews,Asking A Tech Millionaire How To Start & Scale a Tech Company;Asking A Tech Millionaire How To Start & Scale a Tech Company
3K43YBxUp0I,3,school-of-hard-knocks/10-questions-with-a-millionaire/009-3K43YBxUp0I;school-of-hard-knocks/entrepreneurship/097-3K43YBxUp0I;school-of-hard-knocks/hard-knocks-interviews/099-3K43YBxUp0I,school-of-hard-knocks/10-questions-with-a-millionaire;school-of-hard-knocks/entrepreneurship;school-of-hard-knocks/hard-knocks-interviews,Meet The Most Interesting Man On The Planet;Meet The Most Interesting Man On The Planet;Meet The Most Interesting Man On The Planet
3aG9DVb6vBs,2,school-of-hard-knocks/entrepreneurship/152-3aG9DVb6vBs;school-of-hard-knocks/hard-knocks-interviews/119-3aG9DVb6vBs,school-of-hard-knocks/entrepreneurship;school-of-hard-knocks/hard-knocks-interviews,How to Make $2 Million in Commercial Real Estate;How to Make $2 Million in Commercial Real Estate
4fOaAGCuuJU,2,school-of-hard-knocks/entrepreneurship/038-4fOaAGCuuJU;school-of-hard-knocks/hard-knocks-interviews/039-4fOaAGCuuJU,school-of-hard-knocks/entrepreneurship;school-of-hard-knocks/hard-knocks-interviews,I Had $78... Now I’m Worth $100 Million;I Had $78... Now I’m Worth $100 Million
4uFVDpGTHPQ,2,school-of-hard-knocks/entrepreneurship/001-4uFVDpGTHPQ;school-of-hard-knocks/hard-knocks-interviews/001-4uFVDpGTHPQ,school-of-hard-knocks/entrepreneurship;school-of-hard-knocks/hard-knocks-interviews,Asking Billionaires If They Pay Taxes!;Asking Billionaires If They Pay Taxes!
5E-lydM23gU,2,school-of-hard-knocks/entrepreneurship/050-5E-lydM23gU;school-of-hard-knocks/hard-knocks-interviews/051-5E-lydM23gU,school-of-hard-knocks/entrepreneurship;school-of-hard-knocks/hard-knocks-interviews,Asking Women Billionaires How They Got Rich!;Asking Women Billionaires How They Got Rich!
6WweLDK6oiY,2,school-of-hard-knocks/entrepreneurship/081-6WweLDK6oiY;school-of-hard-knocks/hard-knocks-interviews/082-6WweLDK6oiY,school-of-hard-knocks/entrepreneurship;school-of-hard-knocks/hard-knocks-interviews,I Asked Californian Millionaires How Much Money They LOST;I Asked Californian Millionaires How Much Money They LOST
6lmwLam3f4k,2,school-of-hard-knocks/entrepreneurship/073-6lmwLam3f4k;school-of-hard-knocks/hard-knocks-interviews/074-6lmwLam3f4k,school-of-hard-knocks/entrepreneurship;school-of-hard-knocks/hard-knocks-interviews,Young Entrepreneur Interviews Millionaire Justin Waller;Young Entrepreneur Interviews Millionaire Justin Waller
7Cxfg0N_MUw,3,school-of-hard-knocks/10-questions-with-a-millionaire/011-7Cxfg0N_MUw;school-of-hard-knocks/entrepreneurship/102-7Cxfg0N_MUw;school-of-hard-knocks/hard-knocks-interviews/104-7Cxfg0N_MUw,school-of-hard-knocks/10-questions-with-a-millionaire;school-of-hard-knocks/entrepreneurship;school-of-hard-knocks/hard-knocks-interviews,From $0 To $12M A Year At 26Years Old. Here’s How;From $0 To $12M A Year At 26Years Old. Here’s How;From $0 To $12M A Year At 26Years Old. Here’s How
7Yx6-8nMbkc,2,school-of-hard-knocks/entrepreneurship/034-7Yx6-8nMbkc;school-of-hard-knocks/hard-knocks-interviews/035-7Yx6-8nMbkc,school-of-hard-knocks/entrepreneurship;school-of-hard-knocks/hard-knocks-interviews,Asking Millionaire Homeowners How They Got Rich;Asking Millionaire Homeowners How They Got Rich
7i0D5OMZzw0,2,school-of-hard-knocks/entrepreneurship/024-7i0D5OMZzw0;school-of-hard-knocks/hard-knocks-interviews/025-7i0D5OMZzw0,school-of-hard-knocks/entrepreneurship;school-of-hard-knocks/hard-knocks-interviews,I Investigated the $1 Trillion Industry Nobody Talks About;I Investigated the $1 Trillion Industry Nobody Talks About
8wU_31Wamcw,2,school-of-hard-knocks/entrepreneurship/044-8wU_31Wamcw;school-of-hard-knocks/hard-knocks-interviews/045-8wU_31Wamcw,school-of-hard-knocks/entrepreneurship;school-of-hard-knocks/hard-knocks-interviews,I Asked Miami’s Millionaire Elite How They Got Rich;I Asked Miami’s Millionaire Elite How They Got Rich
90A-xjDipk4,2,school-of-hard-knocks/entrepreneurship/074-90A-xjDipk4;school-of-hard-knocks/hard-knocks-interviews/075-90A-xjDipk4,school-of-hard-knocks/entrepreneurship;school-of-hard-knocks/hard-knocks-interviews,Asking Salt Lake City Millionaires How They Got RICH!;Asking Salt Lake City Millionaires How They Got RICH!
9FZ7chhIfUM,2,school-of-hard-knocks/entrepreneurship/077-9FZ7chhIfUM;school-of-hard-knocks/hard-knocks-interviews/078-9FZ7chhIfUM,school-of-hard-knocks/entrepreneurship;school-of-hard-knocks/hard-knocks-interviews,Asking Millionaire Golfers How They Got RICH!;Asking Millionaire Golfers How They Got RICH!
9QTBl0R_cs8,2,school-of-hard-knocks/entrepreneurship/032-9QTBl0R_cs8;school-of-hard-knocks/hard-knocks-interviews/033-9QTBl0R_cs8,school-of-hard-knocks/entrepreneurship;school-of-hard-knocks/hard-knocks-interviews,I Asked Robert Herjavec How He Made $500 Million;I Asked Robert Herjavec How He Made $500 Million
9YldQVM4u-I,3,school-of-hard-knocks/10-questions-with-a-millionaire/002-9YldQVM4u-I;school-of-hard-knocks/entrepreneurship/041-9YldQVM4u-I;school-of-hard-knocks/hard-knocks-interviews/042-9YldQVM4u-I,school-of-hard-knocks/10-questions-with-a-millionaire;school-of-hard-knocks/entrepreneurship;school-of-hard-knocks/hard-knocks-interviews,How I Turned –$20 Million Into $3.3 Billion;How I Turned –$20 Million Into $3.3 Billion;How I Turned –$20 Million Into $3.3 Billion
9aBfrKtWJc8,2,school-of-hard-knocks/entrepreneurship/071-9aBfrKtWJc8;school-of-hard-knocks/hard-knocks-interviews/072-9aBfrKtWJc8,school-of-hard-knocks/entrepreneurship;school-of-hard-knocks/hard-knocks-interviews,I Was Bankrupt… Now I’ve Made $3 Billion;I Was Bankrupt… Now I’ve Made $3 Billion
9iWLPlPFdBY,2,school-of-hard-knocks/entrepreneurship/035-9iWLPlPFdBY;school-of-hard-knocks/hard-knocks-interviews/036-9iWLPlPFdBY,school-of-hard-knocks/entrepreneurship;school-of-hard-knocks/hard-knocks-interviews,I Asked Will Smith How He Made $350 Million;I Asked Will Smith How He Made $350 Million
AATw4YRFSw8,2,school-of-hard-knocks/entrepreneurship/016-AATw4YRFSw8;school-of-hard-knocks/hard-knocks-interviews/017-AATw4YRFSw8,school-of-hard-knocks/entrepreneurship;school-of-hard-knocks/hard-knocks-interviews,Asking Wall Street Moguls How They Got Rich!;Asking Wall Street Moguls How They Got Rich!
AUaEd3_JbP8,2,school-of-hard-knocks/entrepreneurship/007-AUaEd3_JbP8;school-of-hard-knocks/hard-knocks-interviews/008-AUaEd3_JbP8,school-of-hard-knocks/entrepreneurship;school-of-hard-knocks/hard-knocks-interviews,Asking Wealthy Americans How They Got Rich! (Palm Beach);Asking Wealthy Americans How They Got Rich! (Palm Beach)
AvKXrCCUEMI,2,school-of-hard-knocks/10-questions-with-a-millionaire/020-AvKXrCCUEMI;school-of-hard-knocks/entrepreneurship/170-AvKXrCCUEMI,school-of-hard-knocks/10-questions-with-a-millionaire;school-of-hard-knocks/entrepreneurship,10 Questions with a Millionaire： Founder & Investor Grant Mitt;10 Questions with a Millionaire: Founder & Investor Grant Mitt
BP548td2dds,2,school-of-hard-knocks/entrepreneurship/099-BP548td2dds;school-of-hard-knocks/hard-knocks-interviews/101-BP548td2dds,school-of-hard-knocks/entrepreneurship;school-of-hard-knocks/hard-knocks-interviews,Asking Millionaires How They Got RICH! (Miami);Asking Millionaires How They Got RICH! (Miami)
BT6YGOROV6c,2,school-of-hard-knocks/entrepreneurship/162-BT6YGOROV6c;school-of-hard-knocks/hard-knocks-interviews/133-BT6YGOROV6c,school-of-hard-knocks/entrepreneurship;school-of-hard-knocks/hard-knocks-interviews,Life After Selling Your Company For $1 Billion;Life After Selling Your Company For $1 Billion
BaxpJArMn9Y,2,school-of-hard-knocks/entrepreneurship/088-BaxpJArMn9Y;school-of-hard-knocks/hard-knocks-interviews/089-BaxpJArMn9Y,school-of-hard-knocks/entrepreneurship;school-of-hard-knocks/hard-knocks-interviews,Asking Miami Millionaires How to Get RICH!;Asking Miami Millionaires How to Get RICH!
C2lgZOIPp8c,2,school-of-hard-knocks/entrepreneurship/145-C2lgZOIPp8c;school-of-hard-knocks/hard-knocks-interviews/112-C2lgZOIPp8c,school-of-hard-knocks/entrepreneurship;school-of-hard-knocks/hard-knocks-interviews,Asking Orlando Millionaires How They Got Rich;Asking Orlando Millionaires How They Got Rich
D0utmFm1l0o,2,school-of-hard-knocks/entrepreneurship/064-D0utmFm1l0o;school-of-hard-knocks/hard-knocks-interviews/065-D0utmFm1l0o,school-of-hard-knocks/entrepreneurship;school-of-hard-knocks/hard-knocks-interviews,Asking Las Vegas Millionaires How They Got Rich!;Asking Las Vegas Millionaires How They Got Rich!
DmDeNuTUetE,2,school-of-hard-knocks/entrepreneurship/008-DmDeNuTUetE;school-of-hard-knocks/hard-knocks-interviews/009-DmDeNuTUetE,school-of-hard-knocks/entrepreneurship;school-of-hard-knocks/hard-knocks-interviews,Asking NY Billionaires How They Got Rich!;Asking NY Billionaires How They Got Rich!
