record_id,youtube_id,status,source_card_rel,problems_supported,contradictions_or_limits,candidate_chapters,disposition,rationale,reviewed_at
jiddu-krishnamurti/ending-all-fear/001-ojjZut2-fu0,ojjZut2-fu0,inventory-verified,,,,,pending-substantive-read,,
jiddu-krishnamurti/ending-all-fear/002-1Z32Mh0EiBE,1Z32Mh0EiBE,inventory-verified,,,,,pending-substantive-read,,
jiddu-krishnamurti/ending-all-fear/003-bciKNE90kzU,bciKNE90kzU,inventory-verified,,,,,pending-substantive-read,,
jiddu-krishnamurti/ending-all-fear/004-2-dFPWqLIqM,2-dFPWqLIqM,inventory-verified,,,,,pending-substantive-read,,
jiddu-krishnamurti/ending-all-fear/005-MV0tuEXTA-A,MV0tuEXTA-A,inventory-verified,,,,,pending-substantive-read,,
jiddu-krishnamurti/transformation-of-man/001-UzQF09RhlaU,UzQF09RhlaU,inventory-verified,,,,,pending-substantive-read,,
jiddu-krishnamurti/transformation-of-man/002-Dvtxu1QJHeQ,Dvtxu1QJHeQ,inventory-verified,,,,,pending-substantive-read,,
jiddu-krishnamurti/transformation-of-man/003-ypM8EVALvEo,ypM8EVALvEo,inventory-verified,,,,,pending-substantive-read,,
jiddu-krishnamurti/transformation-of-man/004-UT1gtGPBsWQ,UT1gtGPBsWQ,inventory-verified,,,,,pending-substantive-read,,
jiddu-krishnamurti/transformation-of-man/005-EDNameIJ1uY,EDNameIJ1uY,inventory-verified,,,,,pending-substantive-read,,
jiddu-krishnamurti/transformation-of-man/006-z3VmciTsopE,z3VmciTsopE,inventory-verified,,,,,pending-substantive-read,,
jiddu-krishnamurti/transformation-of-man/007-iDxzB_oDPnw,iDxzB_oDPnw,inventory-verified,,,,,pending-substantive-read,,
jiddu-krishnamurti/transformation-of-man/008-V9hCYaCOGpk,V9hCYaCOGpk,inventory-verified,,,,,pending-substantive-read,,
jiddu-krishnamurti/wholly-different-way-of-living/001-ux-1aRB8Res,ux-1aRB8Res,inventory-verified,,,,,pending-substantive-read,,
jiddu-krishnamurti/wholly-different-way-of-living/002-xvVL3tT5hZM,xvVL3tT5hZM,inventory-verified,,,,,pending-substantive-read,,
jiddu-krishnamurti/wholly-different-way-of-living/003-pmDUDo_YFoU,pmDUDo_YFoU,inventory-verified,,,,,pending-substantive-read,,
jiddu-krishnamurti/wholly-different-way-of-living/004-bUuvpNuX4rM,bUuvpNuX4rM,inventory-verified,,,,,pending-substantive-read,,
jiddu-krishnamurti/wholly-different-way-of-living/005-z46n67DiiLg,z46n67DiiLg,inventory-verified,,,,,pending-substantive-read,,
jiddu-krishnamurti/wholly-different-way-of-living/006-50eS3GZS6lk,50eS3GZS6lk,inventory-verified,,,,,pending-substantive-read,,
jiddu-krishnamurti/wholly-different-way-of-living/007-WwL39WoQcEM,WwL39WoQcEM,inventory-verified,,,,,pending-substantive-read,,
jiddu-krishnamurti/wholly-different-way-of-living/008-pg6xdfYe6To,pg6xdfYe6To,focused-close-read,generated_course_notes/lazyearn/school-of-hard-knocks/hard-knocks-interviews/dynamic_book/editorial/v3/source_cards/problem_01_rich_and_enough.md,pleasure;happiness;attention;repeated desire,"The transcript's universal claims about thought exceed what the book can establish.",1;4;21;23,integrate-narrow-mechanism,"Use remembered reward and repetition as an observable mechanism; retain the stronger philosophy in research memory.",2026-08-25
jiddu-krishnamurti/wholly-different-way-of-living/009-LO-oBa-ZKqQ,LO-oBa-ZKqQ,inventory-verified,,,,,pending-substantive-read,,
jiddu-krishnamurti/wholly-different-way-of-living/010-3QpZqgTqlEk,3QpZqgTqlEk,inventory-verified,,,,,pending-substantive-read,,
jiddu-krishnamurti/wholly-different-way-of-living/011-6NnbKd8_Q28,6NnbKd8_Q28,inventory-verified,,,,,pending-substantive-read,,
jiddu-krishnamurti/wholly-different-way-of-living/012-V2G-j-2v3FU,V2G-j-2v3FU,inventory-verified,,,,,pending-substantive-read,,
jiddu-krishnamurti/wholly-different-way-of-living/013-huxxLqcZqCw,huxxLqcZqCw,inventory-verified,,,,,pending-substantive-read,,
jiddu-krishnamurti/wholly-different-way-of-living/014-0D_1XdYRtI4,0D_1XdYRtI4,inventory-verified,,,,,pending-substantive-read,,
jiddu-krishnamurti/wholly-different-way-of-living/015-cdvb92kSmAE,cdvb92kSmAE,inventory-verified,,,,,pending-substantive-read,,
jiddu-krishnamurti/wholly-different-way-of-living/016-SJ1q9KeGdwI,SJ1q9KeGdwI,inventory-verified,,,,,pending-substantive-read,,
jiddu-krishnamurti/wholly-different-way-of-living/017-HhMVrr7-JEk,HhMVrr7-JEk,inventory-verified,,,,,pending-substantive-read,,
jiddu-krishnamurti/wholly-different-way-of-living/018-HMyX2FXE9S4,HMyX2FXE9S4,inventory-verified,,,,,pending-substantive-read,,
jim-rohn-originals-no-ai/001-0sG31mTbHJU,0sG31mTbHJU,inventory-verified,,,,,pending-substantive-read,,
jim-rohn-originals-no-ai/002-gAZ0ARHKKoU,gAZ0ARHKKoU,inventory-verified,,,,,pending-substantive-read,,
jim-rohn-originals-no-ai/003-TarOjPbJD1Q,TarOjPbJD1Q,inventory-verified,,,,,pending-substantive-read,,
jim-rohn-originals-no-ai/004-AwDUKk1i2sI,AwDUKk1i2sI,inventory-verified,,,,,pending-substantive-read,,
jim-rohn-originals-no-ai/005-arUini9Mh6A,arUini9Mh6A,inventory-verified,,,,,pending-substantive-read,,
jim-rohn-originals-no-ai/006-z7DtCkmFIYI,z7DtCkmFIYI,inventory-verified,,,,,pending-substantive-read,,
