record_id,series,sequence,title,youtube_id,transcript_rel,subtitle_rel,media_rel,media_match,media_candidates,transcript_words,last_timestamp,duration_seconds,transcript_sha256,subtitle_sha256,video_family_size,canonical_video_record
jiddu-krishnamurti/ending-all-fear/001-ojjZut2-fu0,jiddu-krishnamurti/ending-all-fear,1,J. Krishnamurti - San Diego 1970 - Public Talk 1 - How does one learn about oneself？,ojjZut2-fu0,markdown/lazyearn/jiddu-krishnamurti/ending-all-fear/001 - J. Krishnamurti - San Diego 1970 - Public Talk 1 - How does one learn about oneself？ [ojjZut2-fu0].md,subtitles/lazyearn/jiddu-krishnamurti/ending-all-fear/001 - J. Krishnamurti - San Diego 1970 - Public Talk 1 - How does one learn about oneself？ [ojjZut2-fu0].srt,lazyearn/jiddu-krishnamurti/ending-all-fear/001 - J. Krishnamurti - San Diego 1970 - Public Talk 1 - How does one learn about oneself？ [ojjZut2-fu0].mkv,exact-source-path,1,3809,"00:57:04,640",3424.64,f627318061f713063f39da8153f1980d778be11bfb07cc6d68fe2f706eff4614,d19e81b7fe9c1f7d901b5446181cfb00bc46320ec33ce3ab81b50586c09b6751,1,yes
jiddu-krishnamurti/ending-all-fear/002-1Z32Mh0EiBE,jiddu-krishnamurti/ending-all-fear,2,J. Krishnamurti - San Diego 1970 - Public Talk 2 - Can the human mind be completely free of fear？,1Z32Mh0EiBE,markdown/lazyearn/jiddu-krishnamurti/ending-all-fear/002 - J. Krishnamurti - San Diego 1970 - Public Talk 2 - Can the human mind be completely free of fear？ [1Z32Mh0EiBE].md,subtitles/lazyearn/jiddu-krishnamurti/ending-all-fear/002 - J. Krishnamurti - San Diego 1970 - Public Talk 2 - Can the human mind be completely free of fear？ [1Z32Mh0EiBE].srt,lazyearn/jiddu-krishnamurti/ending-all-fear/002 - J. Krishnamurti - San Diego 1970 - Public Talk 2 - Can the human mind be completely free of fear？ [1Z32Mh0EiBE].mkv,exact-source-path,1,3832,"00:56:29,078",3389.078,73285585f36cf3b02c5714f8aa4d70fb5b39d16a720ea08148943c443090096a,5578d5946f58864ec8944df7c9c090fe4a657c353f3cdbd00513716d87407b08,1,yes
jiddu-krishnamurti/ending-all-fear/003-bciKNE90kzU,jiddu-krishnamurti/ending-all-fear,3,J. Krishnamurti - San Diego 1970 - Public Talk 3 - Understanding meditation requires order,bciKNE90kzU,markdown/lazyearn/jiddu-krishnamurti/ending-all-fear/003 - J. Krishnamurti - San Diego 1970 - Public Talk 3 - Understanding meditation requires order [bciKNE90kzU].md,subtitles/lazyearn/jiddu-krishnamurti/ending-all-fear/003 - J. Krishnamurti - San Diego 1970 - Public Talk 3 - Understanding meditation requires order [bciKNE90kzU].srt,lazyearn/jiddu-krishnamurti/ending-all-fear/003 - J. Krishnamurti - San Diego 1970 - Public Talk 3 - Understanding meditation requires order [bciKNE90kzU].mkv,exact-source-path,1,3719,"00:56:53,800",3413.8,0b1d0878e39e3377ddec0fbf3c0b0631a96fc5b54ee445f1c7142b20d7a91b91,1928bfc2bc128173028d08f5999f7fa9e39648d1b2e73606c72535d8a95b9bd8,1,yes
jiddu-krishnamurti/ending-all-fear/004-2-dFPWqLIqM,jiddu-krishnamurti/ending-all-fear,4,J. Krishnamurti - San Diego 1970 - Public Talk 4 - What is meditation？,2-dFPWqLIqM,markdown/lazyearn/jiddu-krishnamurti/ending-all-fear/004 - J. Krishnamurti - San Diego 1970 - Public Talk 4 - What is meditation？ [2-dFPWqLIqM].md,subtitles/lazyearn/jiddu-krishnamurti/ending-all-fear/004 - J. Krishnamurti - San Diego 1970 - Public Talk 4 - What is meditation？ [2-dFPWqLIqM].srt,lazyearn/jiddu-krishnamurti/ending-all-fear/004 - J. Krishnamurti - San Diego 1970 - Public Talk 4 - What is meditation？ [2-dFPWqLIqM].webm,exact-source-path,1,4059,"00:57:02,560",3422.56,e21a18523421eeaac1cf8e5467b02dce3bdd1b462ace69474f9f5225e7c072ad,b75daa7f368e2ce3e750d412a19645ea68bdd41eb16ae1bdef9f8bb5faf66de1,1,yes
jiddu-krishnamurti/ending-all-fear/005-MV0tuEXTA-A,jiddu-krishnamurti/ending-all-fear,5,Audio ｜ J. Krishnamurti – San Diego 1970 – Students Discussion – How can the mind free itself of...,MV0tuEXTA-A,markdown/lazyearn/jiddu-krishnamurti/ending-all-fear/005 - Audio ｜ J. Krishnamurti – San Diego 1970 – Students Discussion – How can the mind free itself of... [MV0tuEXTA-A].md,subtitles/lazyearn/jiddu-krishnamurti/ending-all-fear/005 - Audio ｜ J. Krishnamurti – San Diego 1970 – Students Discussion – How can the mind free itself of... [MV0tuEXTA-A].srt,lazyearn/jiddu-krishnamurti/ending-all-fear/005 - Audio ｜ J. Krishnamurti – San Diego 1970 – Students Discussion – How can the mind free itself of... [MV0tuEXTA-A].mkv,exact-source-path,1,8545,"01:30:01,240",5401.24,4d97fa4973fcd6167cd1a96b6969a75222b42242eaf741f327bdd8d1abe6918f,4aaee2cc4237692be8a2e1870f50bc3b46214854368e749bf089556b2dd1e76a,1,yes
jiddu-krishnamurti/transformation-of-man/001-UzQF09RhlaU,jiddu-krishnamurti/transformation-of-man,1,J. Krishnamurti - Brockwood Park 1976 - Discussions with D. Bohm and D. Shainberg - Introduction,UzQF09RhlaU,markdown/lazyearn/jiddu-krishnamurti/transformation-of-man/001 - J. Krishnamurti - Brockwood Park 1976 - Discussions with D. Bohm and D. Shainberg - Introduction [UzQF09RhlaU].md,subtitles/lazyearn/jiddu-krishnamurti/transformation-of-man/001 - J. Krishnamurti - Brockwood Park 1976 - Discussions with D. Bohm and D. Shainberg - Introduction [UzQF09RhlaU].srt,lazyearn/jiddu-krishnamurti/transformation-of-man/001 - J. Krishnamurti - Brockwood Park 1976 - Discussions with D. Bohm and D. Shainberg - Introduction [UzQF09RhlaU].mkv,exact-source-path,1,1413,"00:09:37,020",577.02,4f1e49a438e063e76146d1ee2b991a9c10a1288fc580364d8110fdc674e404ce,036d7b2c082b191b71c1735c5825fab4f7b58e7cd3d96223fb05c651805f28fd,1,yes
jiddu-krishnamurti/transformation-of-man/002-Dvtxu1QJHeQ,jiddu-krishnamurti/transformation-of-man,2,J. Krishnamurti - Brockwood Park 1976 - The Transformation of Man - 1 - Are we aware that we are...,Dvtxu1QJHeQ,markdown/lazyearn/jiddu-krishnamurti/transformation-of-man/002 - J. Krishnamurti - Brockwood Park 1976 - The Transformation of Man - 1 - Are we aware that we are... [Dvtxu1QJHeQ].md,subtitles/lazyearn/jiddu-krishnamurti/transformation-of-man/002 - J. Krishnamurti - Brockwood Park 1976 - The Transformation of Man - 1 - Are we aware that we are... [Dvtxu1QJHeQ].srt,lazyearn/jiddu-krishnamurti/transformation-of-man/002 - J. Krishnamurti - Brockwood Park 1976 - The Transformation of Man - 1 - Are we aware that we are... [Dvtxu1QJHeQ].webm,exact-source-path,1,8369,"01:00:39,954",3639.954,09959e530c6f6f3b3ef980edde5e60aefc2c84f0f4b5908056a0328526a763b8,285a322f2e60403d7b1e4325aadbee3d1299a581f966a260032a6e673bb4c3b1,1,yes
jiddu-krishnamurti/transformation-of-man/003-ypM8EVALvEo,jiddu-krishnamurti/transformation-of-man,3,J. Krishnamurti - Brockwood Park 1976 - The Transformation of Man - 2 -  A mechanical way of...,ypM8EVALvEo,markdown/lazyearn/jiddu-krishnamurti/transformation-of-man/003 - J. Krishnamurti - Brockwood Park 1976 - The Transformation of Man - 2 -  A mechanical way of... [ypM8EVALvEo].md,subtitles/lazyearn/jiddu-krishnamurti/transformation-of-man/003 - J. Krishnamurti - Brockwood Park 1976 - The Transformation of Man - 2 -  A mechanical way of... [ypM8EVALvEo].srt,lazyearn/jiddu-krishnamurti/transformation-of-man/003 - J. Krishnamurti - Brockwood Park 1976 - The Transformation of Man - 2 -  A mechanical way of... [ypM8EVALvEo].webm,exact-source-path,1,8710,"01:00:31,540",3631.54,0d8a85113d34e068784cacf7e13074f5926fb58d5763493ba7806244f8791fe4,e644328f8ff1d42f0fd4206f6791f553b6bfaa4717fdefb0e84e287a068bfe03,1,yes
jiddu-krishnamurti/transformation-of-man/004-UT1gtGPBsWQ,jiddu-krishnamurti/transformation-of-man,4,J. Krishnamurti - Brockwood Park 1976 - The Transformation of Man - 3 - Can I completely change...,UT1gtGPBsWQ,markdown/lazyearn/jiddu-krishnamurti/transformation-of-man/004 - J. Krishnamurti - Brockwood Park 1976 - The Transformation of Man - 3 - Can I completely change... [UT1gtGPBsWQ].md,subtitles/lazyearn/jiddu-krishnamurti/transformation-of-man/004 - J. Krishnamurti - Brockwood Park 1976 - The Transformation of Man - 3 - Can I completely change... [UT1gtGPBsWQ].srt,lazyearn/jiddu-krishnamurti/transformation-of-man/004 - J. Krishnamurti - Brockwood Park 1976 - The Transformation of Man - 3 - Can I completely change... [UT1gtGPBsWQ].mkv,exact-source-path,1,6889,"00:49:50,180",2990.18,e97472826df83531f515e3040603cad884ec58fea2e586c0b5c7acb799605d02,6ddfda073382f679bfe12e0628dbc86e4dfd1f9b3f8a1ab81cc848f543cbe4a2,1,yes
jiddu-krishnamurti/transformation-of-man/005-EDNameIJ1uY,jiddu-krishnamurti/transformation-of-man,5,J. Krishnamurti - Brockwood Park 1976 - The Transformation of Man - 4 -  In aloneness you can be...,EDNameIJ1uY,markdown/lazyearn/jiddu-krishnamurti/transformation-of-man/005 - J. Krishnamurti - Brockwood Park 1976 - The Transformation of Man - 4 -  In aloneness you can be... [EDNameIJ1uY].md,subtitles/lazyearn/jiddu-krishnamurti/transformation-of-man/005 - J. Krishnamurti - Brockwood Park 1976 - The Transformation of Man - 4 -  In aloneness you can be... [EDNameIJ1uY].srt,lazyearn/jiddu-krishnamurti/transformation-of-man/005 - J. Krishnamurti - Brockwood Park 1976 - The Transformation of Man - 4 -  In aloneness you can be... [EDNameIJ1uY].webm,exact-source-path,1,7781,"00:57:29,274",3449.274,006c3e487b0818d6eb645d71e2f17e284bc4af5edb73a40d43ffe6e5bd944365,323df73e0c1519a15a88f10142e560831bfe70a4211cbb9d72cc9702509f9dc1,1,yes
