index	title	rel_path	chapter_slug
1	00.20160727理解真正的“财富自由”	1.md	001-1-00-20160727
2	00.20160729出售时间的三条铁律	2.md	002-2-00-20160729
3	01.20160801阻碍财富自由的三大坑	3.md	003-3-01-20160801
4	01.20160805我们最重要的财富是“注意力”	4.md	004-4-01-20160805
5	02.20160812付费就是捡便宜	5.md	005-5-02-20160812
6	03.20160819人生最重的枷锁是“安全感”	6.md	006-6-03-20160819
7	04.20160826生活的根基“活有未来”	7.md	007-7-04-20160826
8	05.20160902遇到贵人的方法	8.md	008-8-05-20160902
9	06.20160909关于“资本”	9.md	009-9-06-20160909
10	07.20160916关于“落后”	10.md	010-10-07-20160916
11	08.20160923从平庸走向卓越的最佳策略：“多维竞争”	11.md	011-11-08-20160923
12	09.20160930认识“元认知能力”	12.md	012-12-09-20160930
13	10.20161007提高元认知能力的方法	13.md	013-13-10-20161007
14	11.20161014“万能钥匙”	14.md	014-14-11-20161014
15	12.20161021“坚持”与“毅力”	15.md	015-15-12-20161021
16	13.20161028“错过”	16.md	016-16-13-20161028
17	14.20161104这个世界是有生命的	17.md	017-17-14-20161104
18	15.20161111彻底戒掉“抱怨”	18.md	018-18-15-20161111
19	16.20161118看见别人的好才能获得新生	19.md	019-19-16-20161118
20	17.20161125正确本身的价值	20.md	020-20-17-20161125
21	18.20161202什么决定你的命运	21.md	021-21-18-20161202
22	19.20161209“自我驱动力”	22.md	022-22-19-20161209
23	20.20161216认知、选择、培养正确的刚需	23.md	023-23-20-20161216
24	21.20161223投资的刚需是避险	24.md	024-24-21-20161223
25	22.20161230尊重资本量级的差异	25.md	025-25-22-20161230
26	23.20170106你真的没机会？	26.md	026-26-23-20170106
27	24.20170113开始投资活动的条件	27.md	027-27-24-20170113
28	25.20170120你能准确预测股票？	28.md	028-28-25-20170120
29	26.20170127贪婪与诱惑	29.md	029-29-26-20170127
30	27.20170203“先发优势”？	30.md	030-30-27-20170203
31	28.20170210全部押上意味着什么？	31.md	031-31-28-20170210
32	29.20170217最简单的安全投资策略是“定投”	32.md	032-32-29-20170217
33	30.20170224“长期”	33.md	033-33-30-20170224
34	31.20170303如何获得“双倍”的薪水或收入	34.md	034-34-31-20170303
35	32.20170310做个正常“时间买卖”	35.md	035-35-32-20170310
36	33.20170317关于“写作”	36.md	036-36-33-20170317
37	34.20170324决定“你的价格”的要素	37.md	037-37-34-20170324
38	35.20170331关于“选择的方法”	38.md	038-38-35-20170331
39	36.20170407关于“成长率”	39.md	039-39-36-20170407
40	37.20170414“提高成长率”	40.md	040-40-37-20170414
41	38.20170421关于“知识”	41.md	041-41-38-20170421
42	39.20170428关于“智商”	42.md	042-42-39-20170428
43	40.20170505关于“速成”	43.md	043-43-40-20170505
44	41.20170512生命中最重要的东西：重复&amp;希望	44.md	044-44-41-20170512-amp
45	42.20170519成为配得上希望的那个人	45.md	045-45-42-20170519
46	43.20170526认知升级最重要的工具“践行”	46.md	046-46-43-20170526
47	44.20170602一个人生的作弊器“学习能力”	47.md	047-47-44-20170602
48	45.20170609投资世界里的最基本技能：趋势判断	48.md	048-48-45-20170609
49	46.20170616投资的世界“镜像世界”	49.md	049-49-46-20170616
50	47.20170623“精明的时间买卖”	50.md	050-50-47-20170623
51	48.20170630最好的个人商业模式	51.md	051-51-48-20170630
52	49.20170707人生的终极问题到底是什么？	52.md	052-52-49-20170707
53	50.20170714应用“原则”在关键时刻作出正确的选择	53.md	053-53-50-20170714
54	51.20170721关于“提问”的智慧	54.md	054-54-51-20170721
55	52.20170728关于“执行力”	55.md	055-55-52-20170728
